sn,resp_id,agri_inc,off_farm_inc,tot_hh_inc,usd,area_cropped,hh_size,hh_lab,opp_cost_est,site,dist,age,education,PC1,PC2,tlu,teviala1,rice_proj,redd
1,AMP001,1172875,360000,1532875,567,10404,3,1,12646,Ampahitra,-1.703,0.8,0,-0.722964857,-0.331401886,0.01,-3048,3320,"REDD+ project
with safeguard"
2,AMP008,196500,140000,336500,124,14628,10,4,15369,Ampahitra,-2.357,0.8,0,-0.647306957,1.693984535,0,-1946,4876,"REDD+ project
with safeguard"
3,AMP014,484625,210000,694625,257,29599,7,3,13050,Ampahitra,-2.39,0.2,0,-0.042980011,1.001682484,0.13,-1001,3776,"REDD+ project
with safeguard"
4,AMP016,1380250,260000,1640250,607,42205,3,2,14550,Ampahitra,-1.112,0.3,0,2.448894384,-3.726169033,0.12,-1777,3009,"REDD+ project
with safeguard"
5,AMP031,639750,1272000,1911750,707,30784,4,2,2238,Ampahitra,-0.061,0.2,1,0.985662878,1.306326466,0.02,6843,4827,"REDD+ project
with safeguard"
6,AMP032,256500,354000,610500,225,1889,4,2,8237,Ampahitra,-0.079,0.6,0,-0.543494361,0.194321408,0.07,640,3085,"REDD+ project
with safeguard"
7,AMP037,105000,290000,395000,146,7060,5,3,7472,Ampahitra,0.081,1,0,-1.203579416,0.197671927,0,-737,2775,"REDD+ project
with safeguard"
8,AMP039,822500,96000,918500,339,39414,8,4,9686,Ampahitra,-0.998,0.7,0,-0.030687557,1.775688812,0.63,-2400,3707,"REDD+ project
with safeguard"
9,AMP041,1373500,192000,1565500,579,15097,7,4,3138,Ampahitra,-0.905,3.9,0,0.374760772,1.958605203,0.43,3152,4409,"REDD+ project
with safeguard"
10,AMP061,1003750,78000,1081750,400,18035,6,5,1421,Ampahitra,2.481,3.4,0,-0.401718412,-0.166495597,0.08,1541,2859,"REDD+ project
with safeguard"
11,AMP073,681000,0,681000,252,28827,2,2,386,Ampahitra,3.934,3,0,3.815153735,5.866199545,14.23,6579,3735,"REDD+ project
with safeguard"
12,AMP091,674700,0,674700,249,28670,9,3,1427,Ampahitra,3.17,1.2,0,0.08711058,0.640877234,0.06,1584,2413,"REDD+ project
with safeguard"
13,AMP102,770500,25000,795500,294,10254,8,4,143,Ampahitra,2.083,2.5,1,1.01616122,1.689508112,1.65,5591,4982,"REDD+ project
with safeguard"
