sn,resp_id,site,fokontany,resp_hhd,hhd_vborn,hhd_vres,hhd_marital,hh_age,dist2park,hh_size,resp_age,resp_gender,resp_lit,resp_edu_yr,resp_occup,education,no_rooms,house_qual,tlu,food_sec,paddy,access_light,mplayer,coba_mem
1,AMP001,Ampahitra,Ampahitra,1,0,4,3,8,-1703,3,49,1,1,4,4,0,1,1,0.01,10,0,1,0,1
2,AMP003,Ampahitra,Ampahitra,1,0,2,1,2,-2713,8,30,1,1,3,1,0,1,1,0.1,9,0,2,1,0
3,AMP004,Ampahitra,Ampahitra,1,0,5,1,5,-1279,6,27,1,1,4,1,0,1,1,2.32,10,1,4,0,0
4,AMP005,Ampahitra,Ampahitra,1,0,2,1,1,-1332,6,22,1,1,2,1,0,2,1,0.44,6,0,2,0,0
5,AMP008,Ampahitra,Ampahitra,1,1,,1,8,-2357,10,45,1,0,0,1,0,1,1,0,3,1,0,1,0
6,AMP010,Ampahitra,Ampahitra,1,0,4,1,4,-705,8,60,1,0,0,1,0,2,1,0,3,0,1,1,0
7,AMP011,Ampahitra,Ampahitra,1,0,1,1,1,-1596,7,68,1,0,0,1,0,2,1,0.05,4,0,2,1,0
8,AMP014,Ampahitra,Ampahitra,1,0,2,1,2,-2390,7,35,1,0,0,1,0,2,1,0.13,5,0,2,1,0
9,AMP015,Ampahitra,Ampahitra,1,0,5,1,5,-644,12,54,1,1,7,1,1,1,1,0.3,6,0,1,1,2
10,AMP016,Ampahitra,Ampahitra,,0,10,1,3,-1112,3,21,1,0,0,1,0,10,1,0.12,12,0,3,0,1
11,AMP018,Ampahitra,Ampahitra,1,0,1,1,1,-2949,5,-98,1,0,0,1,0,1,1,0.02,7,0,1,0,0
12,AMP020,Ampahitra,Ampahitra,1,0,5,1,5,-772,5,45,1,1,3,1,0,1,1,0.01,4,0,1,0,0
13,AMP022,Ampahitra,Ampahitra,1,0,7,1,1,-1336,5,25,1,0,0,4,0,2,1,0.02,3,1,2,1,0
14,AMP024,Ampahitra,Ampahitra,1,0,5,4,5,-910,1,35,1,1,9,1,1,1,1,0,3,0,2,0,1
15,AMP025,Ampahitra,Ampahitra,1,0,6,1,6,-1074,8,32,1,1,3,1,0,2,1,4.8,12,0,4,0,0
16,AMP026,Ampahitra,Ampahitra,1,0,10,1,10,-1410,11,32,1,1,2,1,0,2,1,4.34,12,1,2,1,0
17,AMP028,Ampahitra,Ampahitra,1,0,25,1,20,-76,7,39,1,1,5,1,0,3,1,0.1,2,0,4,1,0
18,AMP031,Ampahitra,Ampahitra,0,0,2,1,2,-61,4,32,0,1,6,1,1,1,1,0.02,11,0,4,1,0
19,AMP032,Ampahitra,Ampahitra,1,1,,1,6,-79,4,23,1,1,4,1,0,1,1,0.07,6,0,3,0,0
20,AMP034,Ampahitra,Ampahitra,1,0,14,1,10,-111,4,51,1,1,4,1,0,1,1,0.56,10,0,2,0,0
21,AMP036,Ampahitra,Ampahitra,1,0,18,1,16,86,6,42,0,0,0,1,0,1,1,0.05,5,0,3,0,1
22,AMP037,Ampahitra,Ampahitra,1,0,25,1,10,81,5,38,0,0,0,1,0,1,1,0,3,0,2,0,1
23,AMP039,Ampahitra,Ampahitra,1,0,7,1,7,-998,8,30,1,0,0,1,0,1,1,0.63,4,0,3,1,1
24,AMP041,Ampahitra,Ampahitra,1,0,42,4,39,-905,7,58,1,0,0,1,0,1,1,0.43,6,1,2,1,0
25,AMP043,Ampahitra,Ampahitra,1,0,11,1,11,146,5,40,1,1,2,1,0,1,1,0.01,4,0,3,0,0
26,AMP045,Ampahitra,Ampahitra,1,0,24,1,24,74,3,67,1,1,12,1,1,2,1,0.03,9,1,3,0,0
27,AMP047,Ampahitra,Ampahitra,1,1,,1,3,515,4,22,1,1,6,1,1,2,1,0.04,5,0,1,0,0
28,AMP049,Ampahitra,Ampahitra,1,0,3,1,8,94,7,40,1,0,0,1,0,3,1,0.05,5,0,3,1,0
29,AMP051,Ampahitra,Ampahitra,1,0,5,2,4,-491,3,22,1,1,7,1,1,0,0,0,6,0,1,0,0
30,AMP053,Ampahitra,Ampahitra,1,0,13,1,18,-115,10,45,1,1,9,1,1,2,1,0.53,8,0,3,0,1
31,AMP056,Ampahitra,Ampahitra,1,0,14,3,14,238,2,50,0,0,0,4,0,1,1,0.02,2,0,1,0,0
32,AMP057,Ampahitra,Ampahitra,1,0,30,1,11,-75,7,58,1,0,0,1,0,1,1,0.81,3,0,1,0,1
33,AMP060,Ampahitra,Ampahitra,0,0,1,1,1,114,4,36,0,1,2,1,0,2,1,0.08,3,0,1,0,0
34,AMP061,Ampahitra,Ampahitra,1,1,,1,34,2481,6,50,1,0,0,4,0,1,1,0.08,10,0,2,0,2
35,AMP062,Ampahitra,Ampahitra,1,1,,1,45,2555,5,65,1,0,0,1,0,2,1,0.03,3,0,1,0,0
36,AMP066,Ampahitra,Ampahitra,1,1,,1,15,1673,6,35,1,0,0,1,0,2,1,0.13,10,1,1,0,1
37,AMP068,Ampahitra,Ampahitra,1,0,2,1,2,-48,4,22,1,1,2,4,0,1,1,0.2,8,0,1,0,0
38,AMP069,Ampahitra,Ampahitra,1,0,4,1,4,2985,2,53,1,1,4,1,0,2,1,4.3,11.5,1,4,1,0
39,AMP073,Ampahitra,Ampahitra,1,0,30,1,30,3934,2,68,0,0,0,1,0,3,1,14.23,12,1,3,1,2
40,AMP075,Ampahitra,Ampahitra,1,1,,1,7,1502,3,25,1,1,1,1,0,1,1,0.03,2,0,2,1,0
41,AMP077,Ampahitra,Ampahitra,1,0,45,1,14,1455,3,59,1,0,0,1,0,1,1,0.28,11,1,3,1,0
42,AMP078,Ampahitra,Ampahitra,1,0,20,1,14,1104,7,60,1,0,0,1,0,1,1,0.03,8,0,3,1,1
43,AMP083,Ampahitra,Ampahitra,1,1,,1,19,4728,9,44,1,1,5,1,0,1,1,0.01,5,1,3,1,0
44,AMP085,Ampahitra,Ampahitra,1,1,,1,25,2388,8,40,0,0,0,1,0,1,1,0.06,6,1,1,0,1
