sn,resp_id,site,fokontany,plot_site,plot_type,plot_type_spfy,plot_ownership,plot_owner_spfy,plot_bbr_from,plot_let_rented,plot_lr_to,plot_age,plot_fertility,plot_area,plot_area_unit,plot_seed_qty,plot_seed_unit,cultivate_more,cultivate_more_r1,cultivate_more_r2,cultivate_more_r3,cultivate_more_oth,land_notes
1,AMP001,Ampahitra,Ampahitra,Amilakana,1,,5,,,,,2,3,-98,,200,Kapoaka,0,,,,,
2,AMP002,Ampahitra,Ampahitra,Betenakoho,1,,1,,,,,6,3,-98,,150,Kapoaka,0,,,,,
3,AMP002,Ampahitra,Ampahitra,Andasimenavola,4,,1,,,,,10,3,-98,,30,Kapoaka,,,,,,
4,AMP002,Ampahitra,Ampahitra,Andasimenavola,4,,1,,,,,10,3,-98,,10,Kapoaka,,,,,,
5,AMP003,Ampahitra,Ampahitra,Betenakoho,1,,4,,2,,,-98,2,-98,,300,Kapoaka,0,,,,,
6,AMP003,Ampahitra,Ampahitra,Betenakoho,4,,4,,2,,,-98,3,-98,,30,Kapoaka,,,,,,
7,AMP003,Ampahitra,Ampahitra,Betenakoho,1,,4,,2,,,-98,3,-98,,-98,,,,,,,
8,AMP003,Ampahitra,Ampahitra,Betenakoho,1,,4,,2,,,-98,3,-98,,20,Kapoaka,,,,,,
9,AMP004,Ampahitra,Ampahitra,Behasina,1,,3,,1,,,-98,2,-98,,800,Kapoaka,0,,,,,
10,AMP004,Ampahitra,Ampahitra,Beradaka,4,,3,,2,,,-98,2,-98,,50,Kapoaka,,,,,,
11,AMP004,Ampahitra,Ampahitra,Beradaka,4,,3,,2,,,-98,2,-98,,50,Kapoaka,,,,,,
12,AMP004,Ampahitra,Ampahitra,Beradaka,4,,3,,2,,,-98,2,-98,,30,Kapoaka,,,,,,
13,AMP004,Ampahitra,Ampahitra,Beradaka,4,,3,,2,,,-98,2,-98,,30,Kapoaka,,,,,,
14,AMP004,Ampahitra,Ampahitra,Beradaka,3,,3,,2,,,-98,1,-98,,5,Kapoaka,,,,,,
15,AMP005,Ampahitra,Ampahitra,Andasimatarika,1,,4,,1,,,5,3,-98,,500,Kapoaka,,,,,,
16,AMP005,Ampahitra,Ampahitra,Andasimatarika,4,,4,,1,,,5,3,-98,,20,Kapoaka,0,,,,,
17,AMP006,Ampahitra,Ampahitra,Maholy,1,,3,,1,,,-98,3,-98,,1000,Kapoaka,0,,,,,
18,AMP006,Ampahitra,Ampahitra,Maholy,4,,3,,1,,,-98,3,-98,,50,Kapoaka,,,,,,
19,AMP006,Ampahitra,Ampahitra,Maholy,4,,3,,1,,,-98,3,-98,,50,Kapoaka,,,,,,
20,AMP006,Ampahitra,Ampahitra,Maholy,4,,3,,1,,,-98,3,-98,,100,Kapoaka,,,,,,
21,AMP007,Ampahitra,Ampahitra,Ambodivohangy,1,,5,,,,,14,3,2,Ha,200,Kapoaka,0,,,,,
22,AMP008,Ampahitra,Ampahitra,Betenakoho,3,,1,,,,,30,2,0.5,Ha,50,Kapoaka,0,,,,,
23,AMP008,Ampahitra,Ampahitra,Betenakoho,1,,1,,,,,30,2,1,Ha,100,Kapoaka,,,,,,
24,AMP009,Ampahitra,Ampahitra,Andasivolamena,1,,1,,,,,20,2,0.5,Ha,50,Kapoaka,0,,,,,
25,AMP009,Ampahitra,Ampahitra,Andasivolamena,2,,1,,,,,20,3,1,Ha,100,Kapoaka,,,,,,
26,AMP010,Ampahitra,Ampahitra,Betsingita,2,,1,,,,,10,3,1.5,Ha,150,Kapoaka,0,,,,,
27,AMP010,Ampahitra,Ampahitra,Betsingita,2,,1,,,,,10,3,90,Are,0.9,Kapoaka,,,,,,
28,AMP011,Ampahitra,Ampahitra,Zanak'Ambilona,1,,5,,,,,3,3,1.5,Ha,150,Kapoaka,0,,,,,
