sn,resp_id,site,fokontany,plot_type,plot_ownership
1,AMP001,Ampahitra,Ampahitra,1,5
2,AMP003,Ampahitra,Ampahitra,1,4
3,AMP003,Ampahitra,Ampahitra,4,4
4,AMP003,Ampahitra,Ampahitra,1,4
5,AMP003,Ampahitra,Ampahitra,1,4
6,AMP004,Ampahitra,Ampahitra,1,3
7,AMP004,Ampahitra,Ampahitra,4,3
8,AMP004,Ampahitra,Ampahitra,4,3
9,AMP004,Ampahitra,Ampahitra,4,3
10,AMP004,Ampahitra,Ampahitra,4,3
11,AMP004,Ampahitra,Ampahitra,3,3
12,AMP005,Ampahitra,Ampahitra,1,4
13,AMP005,Ampahitra,Ampahitra,4,4
14,AMP008,Ampahitra,Ampahitra,3,1
15,AMP008,Ampahitra,Ampahitra,1,1
16,AMP010,Ampahitra,Ampahitra,2,1
17,AMP010,Ampahitra,Ampahitra,2,1
18,AMP011,Ampahitra,Ampahitra,1,5
19,AMP011,Ampahitra,Ampahitra,2,5
20,AMP014,Ampahitra,Ampahitra,1,4
21,AMP014,Ampahitra,Ampahitra,4,4
22,AMP015,Ampahitra,Ampahitra,1,3
23,AMP015,Ampahitra,Ampahitra,4,3
24,AMP016,Ampahitra,Ampahitra,1,5
25,AMP016,Ampahitra,Ampahitra,2,5
26,AMP018,Ampahitra,Ampahitra,1,4
27,AMP020,Ampahitra,Ampahitra,1,3
28,AMP020,Ampahitra,Ampahitra,4,3
29,AMP020,Ampahitra,Ampahitra,4,5
30,AMP020,Ampahitra,Ampahitra,1,5
31,AMP022,Ampahitra,Ampahitra,1,4
32,AMP022,Ampahitra,Ampahitra,4,4
33,AMP022,Ampahitra,Ampahitra,4,4
34,AMP022,Ampahitra,Ampahitra,3,4
35,AMP022,Ampahitra,Ampahitra,4,4
36,AMP022,Ampahitra,Ampahitra,4,4
37,AMP022,Ampahitra,Ampahitra,4,4
38,AMP024,Ampahitra,Ampahitra,4,5
39,AMP024,Ampahitra,Ampahitra,4,5
40,AMP024,Ampahitra,Ampahitra,4,5
41,AMP024,Ampahitra,Ampahitra,4,5
42,AMP024,Ampahitra,Ampahitra,1,5
43,AMP024,Ampahitra,Ampahitra,4,5
44,AMP024,Ampahitra,Ampahitra,4,5
45,AMP024,Ampahitra,Ampahitra,4,5
46,AMP024,Ampahitra,Ampahitra,4,5
47,AMP025,Ampahitra,Ampahitra,1,4
48,AMP025,Ampahitra,Ampahitra,4,3
49,AMP025,Ampahitra,Ampahitra,4,4
50,AMP025,Ampahitra,Ampahitra,2,4
51,AMP026,Ampahitra,Ampahitra,1,5
52,AMP026,Ampahitra,Ampahitra,3,5
53,AMP026,Ampahitra,Ampahitra,4,5
54,AMP026,Ampahitra,Ampahitra,4,5
55,AMP026,Ampahitra,Ampahitra,4,5
56,AMP026,Ampahitra,Ampahitra,4,5
57,AMP028,Ampahitra,Ampahitra,1,1
58,AMP028,Ampahitra,Ampahitra,4,1
59,AMP028,Ampahitra,Ampahitra,4,1
60,AMP028,Ampahitra,Ampahitra,2,1
61,AMP031,Ampahitra,Ampahitra,1,2
62,AMP031,Ampahitra,Ampahitra,4,4
63,AMP032,Ampahitra,Ampahitra,1,2
64,AMP032,Ampahitra,Ampahitra,4,4
65,AMP034,Ampahitra,Ampahitra,1,3
66,AMP036,Ampahitra,Ampahitra,1,1
67,AMP037,Ampahitra,Ampahitra,1,1
68,AMP039,Ampahitra,Ampahitra,1,1
69,AMP039,Ampahitra,Ampahitra,1,1
70,AMP041,Ampahitra,Ampahitra,1,1
71,AMP041,Ampahitra,Ampahitra,4,1
72,AMP041,Ampahitra,Ampahitra,4,1
73,AMP041,Ampahitra,Ampahitra,3,1
74,AMP041,Ampahitra,Ampahitra,4,1
75,AMP043,Ampahitra,Ampahitra,1,4
76,AMP043,Ampahitra,Ampahitra,4,4
77,AMP043,Ampahitra,Ampahitra,4,4
78,AMP043,Ampahitra,Ampahitra,4,4
79,AMP043,Ampahitra,Ampahitra,4,4
80,AMP045,Ampahitra,Ampahitra,3,3
81,AMP045,Ampahitra,Ampahitra,4,5
82,AMP045,Ampahitra,Ampahitra,4,3
83,AMP045,Ampahitra,Ampahitra,4,5
84,AMP047,Ampahitra,Ampahitra,1,5
85,AMP047,Ampahitra,Ampahitra,4,4
86,AMP047,Ampahitra,Ampahitra,4,1
87,AMP049,Ampahitra,Ampahitra,2,1
88,AMP049,Ampahitra,Ampahitra,2,1
89,AMP049,Ampahitra,Ampahitra,2,1
90,AMP049,Ampahitra,Ampahitra,2,1
91,AMP051,Ampahitra,Ampahitra,1,2
92,AMP051,Ampahitra,Ampahitra,4,4
93,AMP053,Ampahitra,Ampahitra,1,2
94,AMP053,Ampahitra,Ampahitra,4,5
95,AMP056,Ampahitra,Ampahitra,1,3
96,AMP056,Ampahitra,Ampahitra,4,6
97,AMP057,Ampahitra,Ampahitra,1,5
98,AMP060,Ampahitra,Ampahitra,1,4
99,AMP060,Ampahitra,Ampahitra,4,4
100,AMP061,Ampahitra,Ampahitra,1,1
101,AMP061,Ampahitra,Ampahitra,4,1
102,AMP061,Ampahitra,Ampahitra,4,1
103,AMP061,Ampahitra,Ampahitra,4,1
104,AMP061,Ampahitra,Ampahitra,1,1
105,AMP062,Ampahitra,Ampahitra,1,5
106,AMP062,Ampahitra,Ampahitra,4,5
107,AMP062,Ampahitra,Ampahitra,4,5
108,AMP062,Ampahitra,Ampahitra,2,5
109,AMP062,Ampahitra,Ampahitra,4,5
110,AMP062,Ampahitra,Ampahitra,2,5
111,AMP066,Ampahitra,Ampahitra,1,5
112,AMP066,Ampahitra,Ampahitra,4,5
113,AMP066,Ampahitra,Ampahitra,4,5
114,AMP066,Ampahitra,Ampahitra,4,5
115,AMP066,Ampahitra,Ampahitra,3,5
116,AMP066,Ampahitra,Ampahitra,1,5
117,AMP068,Ampahitra,Ampahitra,1,5
118,AMP068,Ampahitra,Ampahitra,4,5
119,AMP068,Ampahitra,Ampahitra,4,5
120,AMP068,Ampahitra,Ampahitra,4,5
121,AMP068,Ampahitra,Ampahitra,4,5
122,AMP069,Ampahitra,Ampahitra,3,3
123,AMP069,Ampahitra,Ampahitra,1,3
124,AMP069,Ampahitra,Ampahitra,4,3
125,AMP069,Ampahitra,Ampahitra,4,3
126,AMP069,Ampahitra,Ampahitra,4,3
127,AMP069,Ampahitra,Ampahitra,2,3
128,AMP069,Ampahitra,Ampahitra,2,3
129,AMP073,Ampahitra,Ampahitra,3,1
130,AMP073,Ampahitra,Ampahitra,3,1
131,AMP073,Ampahitra,Ampahitra,4,1
132,AMP075,Ampahitra,Ampahitra,1,4
133,AMP075,Ampahitra,Ampahitra,1,4
134,AMP077,Ampahitra,Ampahitra,3,5
135,AMP077,Ampahitra,Ampahitra,1,5
136,AMP077,Ampahitra,Ampahitra,1,5
137,AMP078,Ampahitra,Ampahitra,1,5
138,AMP078,Ampahitra,Ampahitra,2,5
139,AMP083,Ampahitra,Ampahitra,3,3
140,AMP083,Ampahitra,Ampahitra,3,3
141,AMP083,Ampahitra,Ampahitra,4,1
142,AMP083,Ampahitra,Ampahitra,4,1
143,AMP083,Ampahitra,Ampahitra,4,1
144,AMP085,Ampahitra,Ampahitra,1,5
145,AMP085,Ampahitra,Ampahitra,3,5
146,AMP085,Ampahitra,Ampahitra,4,5
147,AMP085,Ampahitra,Ampahitra,4,5
148,AMP085,Ampahitra,Ampahitra,4,5
149,AMP087,Ampahitra,Ampahitra,1,1
150,AMP087,Ampahitra,Ampahitra,4,4
151,AMP087,Ampahitra,Ampahitra,4,4
152,AMP087,Ampahitra,Ampahitra,4,4
153,AMP088,Ampahitra,Ampahitra,1,1
154,AMP088,Ampahitra,Ampahitra,4,1
155,AMP088,Ampahitra,Ampahitra,4,1
156,AMP088,Ampahitra,Ampahitra,4,1
157,AMP088,Ampahitra,Ampahitra,4,1
158,AMP088,Ampahitra,Ampahitra,3,1
159,AMP091,Ampahitra,Ampahitra,1,1
160,AMP091,Ampahitra,Ampahitra,3,1
161,AMP091,Ampahitra,Ampahitra,3,1
162,AMP091,Ampahitra,Ampahitra,4,1
163,AMP091,Ampahitra,Ampahitra,4,1
164,AMP091,Ampahitra,Ampahitra,3,1
165,AMP091,Ampahitra,Ampahitra,4,1
166,AMP093,Ampahitra,Ampahitra,1,4
167,AMP093,Ampahitra,Ampahitra,2,5
168,AMP093,Ampahitra,Ampahitra,3,5
169,AMP093,Ampahitra,Ampahitra,4,5
170,AMP093,Ampahitra,Ampahitra,4,5
171,AMP093,Ampahitra,Ampahitra,3,5
172,AMP093,Ampahitra,Ampahitra,4,5
173,AMP093,Ampahitra,Ampahitra,4,5
174,AMP096,Ampahitra,Ampahitra,1,4
175,AMP096,Ampahitra,Ampahitra,4,4
176,AMP096,Ampahitra,Ampahitra,4,4
177,AMP096,Ampahitra,Ampahitra,4,4
178,AMP096,Ampahitra,Ampahitra,3,4
179,AMP096,Ampahitra,Ampahitra,4,4
180,AMP097,Ampahitra,Ampahitra,1,5
181,AMP099,Ampahitra,Ampahitra,3,1
182,AMP099,Ampahitra,Ampahitra,1,5
183,AMP099,Ampahitra,Ampahitra,4,5
184,AMP102,Ampahitra,Ampahitra,1,3
185,AMP102,Ampahitra,Ampahitra,4,3
186,AMP103,Ampahitra,Ampahitra,1,5
187,AMP103,Ampahitra,Ampahitra,4,5
188,AMP106,Ampahitra,Ampahitra,2,1
189,AMP106,Ampahitra,Ampahitra,2,1
190,AMP108,Ampahitra,Ampahitra,1,4
191,AMP111,Ampahitra,Ampahitra,1,5
192,AMP111,Ampahitra,Ampahitra,4,4
193,AMP111,Ampahitra,Ampahitra,4,4
194,AMP111,Ampahitra,Ampahitra,4,5
195,AMP111,Ampahitra,Ampahitra,4,5
196,AMP111,Ampahitra,Ampahitra,4,5
197,AMP115,Ampahitra,Ampahitra,1,2
198,AMP115,Ampahitra,Ampahitra,4,2
199,AMP116,Ampahitra,Ampahitra,1,5
200,AMP116,Ampahitra,Ampahitra,4,5
201,AMP116,Ampahitra,Ampahitra,1,5
202,AMP119,Ampahitra,Ampahitra,1,1
203,AMP119,Ampahitra,Ampahitra,4,1
204,AMP119,Ampahitra,Ampahitra,4,1
205,AMP119,Ampahitra,Ampahitra,4,1
206,AMP119,Ampahitra,Ampahitra,3,1
207,AMP122,Ampahitra,Ampahitra,1,5
208,AMP122,Ampahitra,Ampahitra,4,5
209,AMP122,Ampahitra,Ampahitra,4,5
210,AMP122,Ampahitra,Ampahitra,4,5
211,AMP122,Ampahitra,Ampahitra,4,5
212,AMP122,Ampahitra,Ampahitra,4,5
213,AMP122,Ampahitra,Ampahitra,3,5
214,AMP125,Ampahitra,Ampahitra,1,1
215,AMP125,Ampahitra,Ampahitra,1,1
216,AMP127,Ampahitra,Ampahitra,2,1
217,AMP127,Ampahitra,Ampahitra,2,3
218,AMP128,Ampahitra,Ampahitra,1,1
219,AMP131,Ampahitra,Ampahitra,1,4
220,AMP131,Ampahitra,Ampahitra,4,1
221,AMP131,Ampahitra,Ampahitra,4,5
222,AMP132,Ampahitra,Ampahitra,1,5
223,AMP132,Ampahitra,Ampahitra,4,5
224,AMP132,Ampahitra,Ampahitra,4,5
225,AMP133,Ampahitra,Ampahitra,1,1
226,AMP133,Ampahitra,Ampahitra,4,1
227,AMP136,Ampahitra,Ampahitra,1,5
228,AMP136,Ampahitra,Ampahitra,4,3
229,AMP136,Ampahitra,Ampahitra,4,5
230,AMP137,Ampahitra,Ampahitra,1,2
231,AMP137,Ampahitra,Ampahitra,1,2
232,AMP137,Ampahitra,Ampahitra,4,2
233,AMP137,Ampahitra,Ampahitra,4,2
234,AMP137,Ampahitra,Ampahitra,4,2
235,AMP137,Ampahitra,Ampahitra,2,2
236,AMP139,Ampahitra,Ampahitra,1,1
237,AMP139,Ampahitra,Ampahitra,4,1
238,AMP141,Ampahitra,Ampahitra,1,1
239,AMP141,Ampahitra,Ampahitra,1,1
240,AMP141,Ampahitra,Ampahitra,4,1
241,AMP141,Ampahitra,Ampahitra,4,1
242,AMP141,Ampahitra,Ampahitra,3,1
243,AMP142,Ampahitra,Ampahitra,1,5
244,AMP142,Ampahitra,Ampahitra,4,4
245,AMP142,Ampahitra,Ampahitra,4,4
246,AMP142,Ampahitra,Ampahitra,4,1
247,AMP142,Ampahitra,Ampahitra,4,5
248,AMP142,Ampahitra,Ampahitra,3,5
249,AMP142,Ampahitra,Ampahitra,3,1
250,AMP145,Ampahitra,Ampahitra,1,5
251,AMP145,Ampahitra,Ampahitra,4,5
252,AMP145,Ampahitra,Ampahitra,4,5
253,AMP145,Ampahitra,Ampahitra,3,5
254,AMP147,Ampahitra,Ampahitra,1,4
255,AMP147,Ampahitra,Ampahitra,4,4
256,AMP147,Ampahitra,Ampahitra,4,4
257,AMP147,Ampahitra,Ampahitra,2,1
258,AMP149,Ampahitra,Ampahitra,1,4
259,AMP149,Ampahitra,Ampahitra,1,4
260,AMP152,Ampahitra,Ampahitra,1,6
261,AMP152,Ampahitra,Ampahitra,1,6
262,AMP153,Ampahitra,Ampahitra,1,4
263,AMP155,Ampahitra,Ampahitra,1,1
264,AMP155,Ampahitra,Ampahitra,1,1
265,AMP155,Ampahitra,Ampahitra,1,1
266,AMP155,Ampahitra,Ampahitra,1,1
267,AMP155,Ampahitra,Ampahitra,1,1
268,AMP157,Ampahitra,Ampahitra,1,5
269,AMP157,Ampahitra,Ampahitra,1,5
270,AMP157,Ampahitra,Ampahitra,3,5
271,AMP157,Ampahitra,Ampahitra,4,5
272,AMP157,Ampahitra,Ampahitra,4,5
273,AMP158,Ampahitra,Ampahitra,1,4
274,AMP158,Ampahitra,Ampahitra,4,4
275,AMP158,Ampahitra,Ampahitra,4,1
276,AMP159,Ampahitra,Ampahitra,1,5
277,AMP159,Ampahitra,Ampahitra,4,5
278,AMP160,Ampahitra,Ampahitra,2,5
279,AMP160,Ampahitra,Ampahitra,1,5
280,AMP160,Ampahitra,Ampahitra,1,3
281,AMP164,Ampahitra,Ampahitra,1,5
282,AMP164,Ampahitra,Ampahitra,1,5
283,AMP164,Ampahitra,Ampahitra,4,5
284,AMP164,Ampahitra,Ampahitra,4,5
285,AMP165,Ampahitra,Ampahitra,1,5
286,AMP165,Ampahitra,Ampahitra,4,5
287,AMP165,Ampahitra,Ampahitra,4,5
288,AMP165,Ampahitra,Ampahitra,4,5
289,AMP169,Ampahitra,Ampahitra,1,1
290,AMP170,Ampahitra,Ampahitra,1,1
291,AMP170,Ampahitra,Ampahitra,1,1
292,AMP170,Ampahitra,Ampahitra,4,1
293,AMP170,Ampahitra,Ampahitra,4,1
294,AMP170,Ampahitra,Ampahitra,4,1
295,AMP172,Ampahitra,Ampahitra,1,4
296,AMP172,Ampahitra,Ampahitra,4,4
297,AMP173,Ampahitra,Ampahitra,1,4
298,AMP173,Ampahitra,Ampahitra,1,4
299,AMP173,Ampahitra,Ampahitra,1,5
300,AMP174,Ampahitra,Ampahitra,1,4
301,AMP174,Ampahitra,Ampahitra,1,4
302,AMP174,Ampahitra,Ampahitra,1,4
303,AMP174,Ampahitra,Ampahitra,1,4
304,AMP174,Ampahitra,Ampahitra,1,4
305,AMP176,Ampahitra,Ampahitra,1,4
306,AMP176,Ampahitra,Ampahitra,1,4
307,AMP176,Ampahitra,Ampahitra,1,4
308,AMP176,Ampahitra,Ampahitra,1,4
309,AMP179,Ampahitra,Ampahitra,1,2
310,AMP180,Ampahitra,Ampahitra,1,1
311,AMP184,Ampahitra,Ampahitra,1,4
312,AMP187,Ampahitra,Ampahitra,1,1
313,AMP187,Ampahitra,Ampahitra,1,1
314,AMP188,Ampahitra,Ampahitra,1,3
315,AMP188,Ampahitra,Ampahitra,4,3
316,AMP188,Ampahitra,Ampahitra,3,5
317,AMP189,Ampahitra,Ampahitra,1,5
318,AMP189,Ampahitra,Ampahitra,2,5
319,AMP189,Ampahitra,Ampahitra,3,5
320,AMP192,Ampahitra,Ampahitra,1,3
321,AMP192,Ampahitra,Ampahitra,1,5
322,AMP194,Ampahitra,Ampahitra,1,2
323,AMP194,Ampahitra,Ampahitra,4,5
324,AMP196,Ampahitra,Ampahitra,3,6
325,AMP196,Ampahitra,Ampahitra,1,6
326,AMP196,Ampahitra,Ampahitra,4,6
327,AMP196,Ampahitra,Ampahitra,4,6
328,AMP197,Ampahitra,Ampahitra,1,5
329,AMP197,Ampahitra,Ampahitra,4,5
330,AMP197,Ampahitra,Ampahitra,4,5
331,AMP197,Ampahitra,Ampahitra,1,2
332,AMP200,Ampahitra,Ampahitra,3,5
333,AMP200,Ampahitra,Ampahitra,1,5
334,AMP201,Ampahitra,Ampahitra,1,5
335,AMP201,Ampahitra,Ampahitra,4,5
336,AMP203,Ampahitra,Ampahitra,1,5
337,AMP203,Ampahitra,Ampahitra,1,5
338,AMB001,Zahamena,Ambodivoangy,1,1
339,AMB001,Zahamena,Ambodivoangy,1,1
340,AMB001,Zahamena,Ambodivoangy,3,2
341,AMB001,Zahamena,Ambodivoangy,4,1
342,AMB002,Zahamena,Ambodivoangy,1,3
343,AMB002,Zahamena,Ambodivoangy,1,1
344,AMB002,Zahamena,Ambodivoangy,1,1
345,AMB002,Zahamena,Ambodivoangy,3,1
346,AMB002,Zahamena,Ambodivoangy,3,1
347,AMB002,Zahamena,Ambodivoangy,4,3
348,AMB002,Zahamena,Ambodivoangy,4,3
349,AMB003,Zahamena,Ambodivoangy,1,5
350,AMB003,Zahamena,Ambodivoangy,1,4
351,AMB003,Zahamena,Ambodivoangy,1,1
352,AMB003,Zahamena,Ambodivoangy,3,1
353,AMB003,Zahamena,Ambodivoangy,4,1
354,AMB003,Zahamena,Ambodivoangy,4,1
355,AMB003,Zahamena,Ambodivoangy,4,3
356,AMB004,Zahamena,Ambodivoangy,1,1
357,AMB004,Zahamena,Ambodivoangy,1,5
358,AMB004,Zahamena,Ambodivoangy,1,1
359,AMB004,Zahamena,Ambodivoangy,4,1
360,AMB004,Zahamena,Ambodivoangy,4,1
361,AMB005,Zahamena,Ambodivoangy,1,5
362,AMB005,Zahamena,Ambodivoangy,1,1
363,AMB005,Zahamena,Ambodivoangy,3,1
364,AMB006,Zahamena,Ambodivoangy,1,1
365,AMB006,Zahamena,Ambodivoangy,3,1
366,AMB006,Zahamena,Ambodivoangy,3,1
367,AMB006,Zahamena,Ambodivoangy,4,1
368,AMB006,Zahamena,Ambodivoangy,4,1
369,AMB007,Zahamena,Ambodivoangy,1,1
370,AMB007,Zahamena,Ambodivoangy,1,1
371,AMB007,Zahamena,Ambodivoangy,1,4
372,AMB007,Zahamena,Ambodivoangy,4,1
373,AMB007,Zahamena,Ambodivoangy,4,1
374,AMB007,Zahamena,Ambodivoangy,4,1
375,AMB007,Zahamena,Ambodivoangy,4,1
376,AMB007,Zahamena,Ambodivoangy,4,1
377,AMB008,Zahamena,Ambodivoangy,1,5
378,AMB008,Zahamena,Ambodivoangy,1,1
379,AMB008,Zahamena,Ambodivoangy,1,1
380,AMB008,Zahamena,Ambodivoangy,3,1
381,AMB008,Zahamena,Ambodivoangy,3,1
382,AMB008,Zahamena,Ambodivoangy,4,1
383,AMB008,Zahamena,Ambodivoangy,4,1
384,AMB008,Zahamena,Ambodivoangy,4,1
385,AMB009,Zahamena,Ambodivoangy,3,1
386,AMB009,Zahamena,Ambodivoangy,3,3
387,AMB010,Zahamena,Ambodivoangy,3,4
388,AMB010,Zahamena,Ambodivoangy,3,4
389,AMB010,Zahamena,Ambodivoangy,4,4
390,AMB010,Zahamena,Ambodivoangy,4,3
391,AMB010,Zahamena,Ambodivoangy,4,3
392,AMB011,Zahamena,Ambodivoangy,3,3
393,AMB011,Zahamena,Ambodivoangy,3,1
394,AMB011,Zahamena,Ambodivoangy,1,1
395,AMB011,Zahamena,Ambodivoangy,4,1
396,AMB011,Zahamena,Ambodivoangy,4,1
397,AMB011,Zahamena,Ambodivoangy,4,1
