"site","dist","age","education","PC1","PC2","id","tlu","teviala1","teviala2","rice_proj","site2"
"Ampahitra",-1.703,0.8,0,-0.722964856593394,-0.331401886489021,"AMP001",0.01,-3048.658453888,-12646.0130921748,3320.06878779407,"REDD+ project
with safeguard"
"Ampahitra",-2.713,0.2,0,0.148180927699906,1.16687225677987,"AMP003",0.1,97.8975202326645,-8033.87699436415,3687.25104327149,"REDD+ project
with safeguard"
"Ampahitra",-1.279,0.5,0,1.05482439845763,1.4158443909113,"AMP004",2.32,-1364.05288167989,-6580.10787467236,3874.75075698999,"REDD+ project
with safeguard"
"Ampahitra",-1.332,0.1,0,-0.546524331584131,-0.214404624560252,"AMP005",0.44,1270.56094613521,-2426.62352292757,2344.81164902883,"REDD+ project
with safeguard"
"Ampahitra",-2.357,0.8,0,-0.647306957022098,1.6939845348052,"AMP008",0,-1946.66785852915,-15369.4074612527,4876.14190726115,"REDD+ project
with safeguard"
"Ampahitra",-0.705,0.4,0,-0.598547048226585,0.927623628156604,"AMP010",0,2824.77296442885,-9612.3541973179,3820.60278231377,"REDD+ project
with safeguard"
"Ampahitra",-1.596,0.1,0,-0.167163795059536,1.02933639066415,"AMP011",0.05,-3044.69338213605,-11328.6676783215,3513.85459020098,"REDD+ project
with safeguard"
"Ampahitra",-2.39,0.2,0,-0.0429800112878993,1.00168248374135,"AMP014",0.13,-1001.74647306019,-13050.0485236061,3776.1683371895,"REDD+ project
with safeguard"
"Ampahitra",-0.644,0.5,1,-0.473977293506512,1.26617974967639,"AMP015",0.3,2082.20423616,-1414.06200409752,5438.05404978243,"REDD+ project
with safeguard"
"Ampahitra",-1.112,0.3,0,2.44889438428239,-3.72616903265985,"AMP016",0.12,-1777.68281299962,-14550.2162159157,3009.96877347533,"REDD+ project
with safeguard"
"Ampahitra",-2.949,0.1,0,-1.06039876918641,-0.159591115989848,"AMP018",0.02,-902.275587727536,-11681.2242442941,2326.77648350686,"REDD+ project
with safeguard"
"Ampahitra",-0.772,0.5,0,-1.40064207687718,0.00511173053086367,"AMP020",0.01,-1782.26479929689,-11119.5032945572,3184.35272882842,"REDD+ project
with safeguard"
"Ampahitra",-1.336,0.1,0,0.234739344047825,1.58095549922695,"AMP022",0.02,-933.964241979936,-12601.8639182528,4038.10900644356,"REDD+ project
with safeguard"
"Ampahitra",-0.91,0.5,1,-1.20357941576464,0.197671926776322,"AMP024",0,23.3971931414539,-779.617060628001,4777.10237042439,"REDD+ project
with safeguard"
"Ampahitra",-1.074,0.6,0,1.36642814409354,1.27866629652066,"AMP025",4.8,-1100.00337506708,-7923.42702132568,3927.89446057741,"REDD+ project
with safeguard"
"Ampahitra",-1.41,1,0,1.8580845155878,2.61149665304491,"AMP026",4.34,-590.69884795374,-8430.42291324448,4414.48390616043,"REDD+ project
with safeguard"
"Ampahitra",-0.076,2,0,0.493204191895753,1.03914044672689,"AMP028",0.1,-946.798132723173,-4764.420058219,3246.98434710643,"REDD+ project
with safeguard"
"Ampahitra",-0.061,0.2,1,0.985662878154242,1.30632646598881,"AMP031",0.02,6843.40780573284,-2238.21351841985,4827.92877874579,"REDD+ project
with safeguard"
"Ampahitra",-0.079,0.6,0,-0.543494360738582,0.194321407589038,"AMP032",0.07,640.40075137047,-8237.18323901976,3085.39361541741,"REDD+ project
with safeguard"
"Ampahitra",-0.111,1,0,-0.33429292936319,0.00409457831672516,"AMP034",0.56,-1619.53476055594,-6760.8003951319,3387.77885263664,"REDD+ project
with safeguard"
"Ampahitra",0.086,1.6,0,-0.659249959216964,0.243299086447224,"AMP036",0.05,-1431.63369471803,-6377.29508949071,2926.16395733647,"REDD+ project
with safeguard"
"Ampahitra",0.081,1,0,-1.20357941576464,0.197671926776322,"AMP037",0,-737.585205330303,-7472.76228635389,2775.69051267295,"REDD+ project
with safeguard"
"Ampahitra",-0.998,0.7,0,-0.0306875570707948,1.77568881179039,"AMP039",0.63,-2400.57980032479,-9686.02733430756,3707.57998364842,"REDD+ project
with safeguard"
"Ampahitra",-0.905,3.9,0,0.37476077180553,1.95860520262827,"AMP041",0.43,3152.91244973304,-3138.82201065852,4409.06270499984,"REDD+ project
with safeguard"
"Ampahitra",0.146,1.1,0,-0.777814952793097,0.285168841326947,"AMP043",0.01,-1247.85194734149,-4031.40694947741,3175.15119590113,"REDD+ project
with safeguard"
"Ampahitra",0.074,2.4,1,0.565198676230516,0.117850072463216,"AMP045",0.03,2578.82942311308,-544.218046920745,5037.78513143743,"REDD+ project
with safeguard"
"Ampahitra",0.515,0.3,1,-1.02707199896183,-0.440506056690886,"AMP047",0.04,2323.5245046438,-1125.11305326176,4258.09215440658,"REDD+ project
with safeguard"
"Ampahitra",0.094,0.8,0,0.513605752251226,0.713085272872753,"AMP049",0.05,3189.23671011576,-4429.83334852357,2962.74544729186,"REDD+ project
with safeguard"
"Ampahitra",-0.491,0.4,1,-2.27264147634291,1.28496732112777,"AMP051",0,345.689709502452,-1818.43385470306,4930.54283713835,"REDD+ project
with safeguard"
"Ampahitra",-0.115,1.8,1,0.00342391515905201,-0.154561616932426,"AMP053",0.53,4202.65314111187,-1743.34684639254,4815.95568993326,"REDD+ project
with safeguard"
"Ampahitra",0.238,1.4,0,-1.62512978608956,0.12083689819339,"AMP056",0.02,3723.08714054716,-1138.45204431142,2764.04089794201,"REDD+ project
with safeguard"
"Ampahitra",-0.075,1.1,0,-1.40121247634775,0.34551429250599,"AMP057",0.81,-11.9376965310676,-6611.31390193083,3253.70405422142,"REDD+ project
with safeguard"
"Ampahitra",0.114,0.1,0,-1.24734561552759,-0.314119003060667,"AMP060",0.08,-946.929457009104,-6634.02046761632,2724.08973485607,"REDD+ project
with safeguard"
"Ampahitra",2.481,3.4,0,-0.401718411709224,-0.166495597166362,"AMP061",0.08,1541.67313289008,-1421.92871600646,2859.86341261869,"REDD+ project
with safeguard"
"Ampahitra",2.555,4.5,0,-1.25436910327197,-0.331888813006822,"AMP062",0.03,3440.33314865879,-1942.19176418215,3025.61299391053,"REDD+ project
with safeguard"
"Ampahitra",1.673,1.5,0,0.0693647310158226,-0.182753021277205,"AMP066",0.13,2892.38635022116,-3076.5774666235,2869.43830800075,"REDD+ project
with safeguard"
"Ampahitra",-0.048,0.2,0,-0.922168009926017,-0.151705403020337,"AMP068",0.2,-1469.25305473625,-7146.30429805098,2967.48306202771,"REDD+ project
with safeguard"
"Ampahitra",2.985,0.4,0,2.41881974778607,2.90538071730239,"AMP069",4.3,4458.62375249857,-1223.47128610737,3936.78903231867,"REDD+ project
with safeguard"
"Ampahitra",3.934,3,0,3.815153735356,5.8661995454396,"AMP073",14.23,6579.0507123395,-386.4713918333,3735.28089509131,"REDD+ project
with safeguard"
"Ampahitra",1.502,0.7,0,-0.652275378806639,1.53459374271178,"AMP075",0.03,5312.07684304181,-3044.34573101723,3061.23127591103,"REDD+ project
with safeguard"
"Ampahitra",1.455,1.4,0,1.22983488751759,1.76489631400461,"AMP077",0.28,1313.78141882094,-5570.42566494388,3411.64538581931,"REDD+ project
with safeguard"
"Ampahitra",1.104,1.4,0,0.336815403519186,1.33810868108994,"AMP078",0.03,1727.24495253422,-5209.31540742872,3772.54275292382,"REDD+ project
with safeguard"
"Ampahitra",4.728,1.9,0,0.51423083341416,2.00545295731526,"AMP083",0.01,3651.65331279018,-195.461661716676,3034.69076204439,"REDD+ project
with safeguard"
"Ampahitra",2.388,2.5,0,-0.64866274723692,0.416905726497562,"AMP085",0.06,2762.2950399094,-2738.24756110533,3225.68830169056,"REDD+ project
with safeguard"
"Ampahitra",3.255,0.4,0,-1.0491611887954,-0.131159420076,"AMP087",0.1,3082.54755983416,-1083.15363895453,1893.79476783356,"REDD+ project
with safeguard"
"Ampahitra",2.55,0.2,0,1.11088392299302,1.44055604044175,"AMP088",0.02,3211.46486612402,-421.972544861024,2882.57001229903,"REDD+ project
with safeguard"
"Ampahitra",3.17,1.2,0,0.0871105802277911,0.640877234456998,"AMP091",0.06,1584.16882754269,-1427.70683416879,2413.00851417651,"REDD+ project
with safeguard"
"Ampahitra",2.878,1.7,0,0.0884663704426137,1.91795604276463,"AMP093",0,4880.70920262451,-661.282586032193,2701.87116289897,"REDD+ project
with safeguard"
"Ampahitra",2.424,0.1,0,0.0552508637335149,0.536882604226462,"AMP096",0.42,4234.54004465133,-1025.18370379541,1656.51386240334,"REDD+ project
with safeguard"
"Ampahitra",0.661,1.8,0,0.0862025671356303,-0.664645025235528,"AMP097",0.12,1246.93290160205,-4223.35260951875,2981.18493884239,"REDD+ project
with safeguard"
"Ampahitra",2.424,1.4,0,0.830931378254251,2.14511248505682,"AMP099",5.16,4979.61430313018,-2672.58634172665,3864.61968707413,"REDD+ project
with safeguard"
