sn,resp_id,site,fokontany,enumerator,ce_version,ce_block,choice_set,alternatives,payment,instalment,rice_proj,teviala,choice,certainty,comprehension
1,AMP001,Ampahitra,Ampahitra,4,WTA,2,7,1,0,0,0,0,0,3,5
2,AMP001,Ampahitra,Ampahitra,4,WTA,2,7,2,9000000,2,1,2,0,3,5
3,AMP001,Ampahitra,Ampahitra,4,WTA,2,7,3,3000000,1,1,1,1,3,5
4,AMP001,Ampahitra,Ampahitra,4,WTA,2,8,1,0,0,1,0,1,3,5
5,AMP001,Ampahitra,Ampahitra,4,WTA,2,8,2,0,0,0,0,0,3,5
6,AMP001,Ampahitra,Ampahitra,4,WTA,2,8,3,9000000,2,0,2,0,3,5
7,AMP001,Ampahitra,Ampahitra,4,WTA,2,9,1,15000000,2,0,2,0,3,5
8,AMP001,Ampahitra,Ampahitra,4,WTA,2,9,2,9000000,1,0,1,0,3,5
9,AMP001,Ampahitra,Ampahitra,4,WTA,2,9,3,0,0,0,0,1,3,5
10,AMP001,Ampahitra,Ampahitra,4,WTA,2,10,1,0,0,0,0,0,5,5
11,AMP001,Ampahitra,Ampahitra,4,WTA,2,10,2,3000000,3,1,0,1,5,5
12,AMP001,Ampahitra,Ampahitra,4,WTA,2,10,3,15000000,2,1,2,0,5,5
13,AMP001,Ampahitra,Ampahitra,4,WTA,2,11,1,12000000,1,0,1,1,3,5
14,AMP001,Ampahitra,Ampahitra,4,WTA,2,11,2,0,0,0,0,0,3,5
15,AMP001,Ampahitra,Ampahitra,4,WTA,2,11,3,6000000,3,0,0,0,3,5
16,AMP001,Ampahitra,Ampahitra,4,WTA,2,12,1,6000000,3,0,1,0,5,5
17,AMP001,Ampahitra,Ampahitra,4,WTA,2,12,2,0,0,1,0,0,5,5
18,AMP001,Ampahitra,Ampahitra,4,WTA,2,12,3,0,0,0,0,1,5,5
19,AMP003,Ampahitra,Ampahitra,4,WTA,2,7,1,0,0,0,0,0,5,5
20,AMP003,Ampahitra,Ampahitra,4,WTA,2,7,2,9000000,2,1,2,1,5,5
21,AMP003,Ampahitra,Ampahitra,4,WTA,2,7,3,3000000,1,1,1,0,5,5
22,AMP003,Ampahitra,Ampahitra,4,WTA,2,8,1,0,0,1,0,0,5,5
23,AMP003,Ampahitra,Ampahitra,4,WTA,2,8,2,0,0,0,0,0,5,5
24,AMP003,Ampahitra,Ampahitra,4,WTA,2,8,3,9000000,2,0,2,1,5,5
25,AMP003,Ampahitra,Ampahitra,4,WTA,2,9,1,15000000,2,0,2,1,5,5
26,AMP003,Ampahitra,Ampahitra,4,WTA,2,9,2,9000000,1,0,1,0,5,5
27,AMP003,Ampahitra,Ampahitra,4,WTA,2,9,3,0,0,0,0,0,5,5
28,AMP003,Ampahitra,Ampahitra,4,WTA,2,10,1,0,0,0,0,0,5,5
29,AMP003,Ampahitra,Ampahitra,4,WTA,2,10,2,3000000,3,1,0,0,5,5
30,AMP003,Ampahitra,Ampahitra,4,WTA,2,10,3,15000000,2,1,2,1,5,5
31,AMP003,Ampahitra,Ampahitra,4,WTA,2,11,1,12000000,1,0,1,1,5,5
32,AMP003,Ampahitra,Ampahitra,4,WTA,2,11,2,0,0,0,0,0,5,5
33,AMP003,Ampahitra,Ampahitra,4,WTA,2,11,3,6000000,3,0,0,0,5,5
34,AMP003,Ampahitra,Ampahitra,4,WTA,2,12,1,6000000,3,0,1,0,5,5
35,AMP003,Ampahitra,Ampahitra,4,WTA,2,12,2,0,0,1,0,1,5,5
36,AMP003,Ampahitra,Ampahitra,4,WTA,2,12,3,0,0,0,0,0,5,5
37,AMP004,Ampahitra,Ampahitra,4,WTA,2,7,1,0,0,0,0,0,5,5
38,AMP004,Ampahitra,Ampahitra,4,WTA,2,7,2,9000000,2,1,2,1,5,5
39,AMP004,Ampahitra,Ampahitra,4,WTA,2,7,3,3000000,1,1,1,0,5,5
40,AMP004,Ampahitra,Ampahitra,4,WTA,2,8,1,0,0,1,0,0,5,5
41,AMP004,Ampahitra,Ampahitra,4,WTA,2,8,2,0,0,0,0,0,5,5
42,AMP004,Ampahitra,Ampahitra,4,WTA,2,8,3,9000000,2,0,2,1,5,5
43,AMP004,Ampahitra,Ampahitra,4,WTA,2,9,1,15000000,2,0,2,0,5,5
44,AMP004,Ampahitra,Ampahitra,4,WTA,2,9,2,9000000,1,0,1,1,5,5
45,AMP004,Ampahitra,Ampahitra,4,WTA,2,9,3,0,0,0,0,0,5,5
46,AMP004,Ampahitra,Ampahitra,4,WTA,2,10,1,0,0,0,0,1,3,5
47,AMP004,Ampahitra,Ampahitra,4,WTA,2,10,2,3000000,3,1,0,0,3,5
48,AMP004,Ampahitra,Ampahitra,4,WTA,2,10,3,15000000,2,1,2,0,3,5
49,AMP004,Ampahitra,Ampahitra,4,WTA,2,11,1,12000000,1,0,1,1,5,5
50,AMP004,Ampahitra,Ampahitra,4,WTA,2,11,2,0,0,0,0,0,5,5
51,AMP004,Ampahitra,Ampahitra,4,WTA,2,11,3,6000000,3,0,0,0,5,5
52,AMP004,Ampahitra,Ampahitra,4,WTA,2,12,1,6000000,3,0,1,1,5,5
53,AMP004,Ampahitra,Ampahitra,4,WTA,2,12,2,0,0,1,0,0,5,5
54,AMP004,Ampahitra,Ampahitra,4,WTA,2,12,3,0,0,0,0,0,5,5
55,AMP005,Ampahitra,Ampahitra,4,WTA,2,7,1,0,0,0,0,0,5,5
56,AMP005,Ampahitra,Ampahitra,4,WTA,2,7,2,9000000,2,1,2,1,5,5
57,AMP005,Ampahitra,Ampahitra,4,WTA,2,7,3,3000000,1,1,1,0,5,5
58,AMP005,Ampahitra,Ampahitra,4,WTA,2,8,1,0,0,1,0,1,5,5
59,AMP005,Ampahitra,Ampahitra,4,WTA,2,8,2,0,0,0,0,0,5,5
60,AMP005,Ampahitra,Ampahitra,4,WTA,2,8,3,9000000,2,0,2,0,5,5
61,AMP005,Ampahitra,Ampahitra,4,WTA,2,9,1,15000000,2,0,2,0,5,5
62,AMP005,Ampahitra,Ampahitra,4,WTA,2,9,2,9000000,1,0,1,0,5,5
63,AMP005,Ampahitra,Ampahitra,4,WTA,2,9,3,0,0,0,0,1,5,5
64,AMP005,Ampahitra,Ampahitra,4,WTA,2,10,1,0,0,0,0,0,5,5
65,AMP005,Ampahitra,Ampahitra,4,WTA,2,10,2,3000000,3,1,0,1,5,5
66,AMP005,Ampahitra,Ampahitra,4,WTA,2,10,3,15000000,2,1,2,0,5,5
67,AMP005,Ampahitra,Ampahitra,4,WTA,2,11,1,12000000,1,0,1,0,5,5
68,AMP005,Ampahitra,Ampahitra,4,WTA,2,11,2,0,0,0,0,0,5,5
69,AMP005,Ampahitra,Ampahitra,4,WTA,2,11,3,6000000,3,0,0,1,5,5
70,AMP005,Ampahitra,Ampahitra,4,WTA,2,12,1,6000000,3,0,1,0,5,5
71,AMP005,Ampahitra,Ampahitra,4,WTA,2,12,2,0,0,1,0,0,5,5
72,AMP005,Ampahitra,Ampahitra,4,WTA,2,12,3,0,0,0,0,1,5,5
73,AMP008,Ampahitra,Ampahitra,1,WTA,1,1,1,0,0,0,0,0,5,5
74,AMP008,Ampahitra,Ampahitra,1,WTA,1,1,2,6000000,2,1,2,0,5,5
75,AMP008,Ampahitra,Ampahitra,1,WTA,1,1,3,3000000,3,1,0,1,5,5
76,AMP008,Ampahitra,Ampahitra,1,WTA,1,2,1,12000000,1,1,1,0,5,5
77,AMP008,Ampahitra,Ampahitra,1,WTA,1,2,2,0,0,0,0,0,5,5
78,AMP008,Ampahitra,Ampahitra,1,WTA,1,2,3,6000000,2,0,1,1,5,5
79,AMP008,Ampahitra,Ampahitra,1,WTA,1,3,1,15000000,3,0,2,1,5,5
80,AMP008,Ampahitra,Ampahitra,1,WTA,1,3,2,0,0,1,1,0,5,5
81,AMP008,Ampahitra,Ampahitra,1,WTA,1,3,3,0,0,0,0,0,5,5
82,AMP008,Ampahitra,Ampahitra,1,WTA,1,4,1,0,0,0,0,0,5,5
83,AMP008,Ampahitra,Ampahitra,1,WTA,1,4,2,9000000,2,1,1,0,5,5
84,AMP008,Ampahitra,Ampahitra,1,WTA,1,4,3,12000000,1,0,2,1,5,5
85,AMP008,Ampahitra,Ampahitra,1,WTA,1,5,1,3000000,3,0,0,1,5,5
86,AMP008,Ampahitra,Ampahitra,1,WTA,1,5,2,0,0,0,0,0,5,5
87,AMP008,Ampahitra,Ampahitra,1,WTA,1,5,3,12000000,1,0,1,0,5,5
88,AMP008,Ampahitra,Ampahitra,1,WTA,1,6,1,0,0,0,1,0,5,5
89,AMP008,Ampahitra,Ampahitra,1,WTA,1,6,2,15000000,3,1,2,1,5,5
90,AMP008,Ampahitra,Ampahitra,1,WTA,1,6,3,0,0,0,0,0,5,5
91,AMP010,Ampahitra,Ampahitra,1,WTA,1,1,1,0,0,0,0,0,4,4
92,AMP010,Ampahitra,Ampahitra,1,WTA,1,1,2,6000000,2,1,2,0,4,4
93,AMP010,Ampahitra,Ampahitra,1,WTA,1,1,3,3000000,3,1,0,1,4,4
94,AMP010,Ampahitra,Ampahitra,1,WTA,1,2,1,12000000,1,1,1,0,4,4
95,AMP010,Ampahitra,Ampahitra,1,WTA,1,2,2,0,0,0,0,0,4,4
96,AMP010,Ampahitra,Ampahitra,1,WTA,1,2,3,6000000,2,0,1,1,4,4
97,AMP010,Ampahitra,Ampahitra,1,WTA,1,3,1,15000000,3,0,2,0,5,4
98,AMP010,Ampahitra,Ampahitra,1,WTA,1,3,2,0,0,1,1,1,5,4
99,AMP010,Ampahitra,Ampahitra,1,WTA,1,3,3,0,0,0,0,0,5,4
100,AMP010,Ampahitra,Ampahitra,1,WTA,1,4,1,0,0,0,0,0,4,4
101,AMP010,Ampahitra,Ampahitra,1,WTA,1,4,2,9000000,2,1,1,1,4,4
102,AMP010,Ampahitra,Ampahitra,1,WTA,1,4,3,12000000,1,0,2,0,4,4
103,AMP010,Ampahitra,Ampahitra,1,WTA,1,5,1,3000000,3,0,0,0,4,4
104,AMP010,Ampahitra,Ampahitra,1,WTA,1,5,2,0,0,0,0,0,4,4
105,AMP010,Ampahitra,Ampahitra,1,WTA,1,5,3,12000000,1,0,1,1,4,4
106,AMP010,Ampahitra,Ampahitra,1,WTA,1,6,1,0,0,0,1,0,5,4
107,AMP010,Ampahitra,Ampahitra,1,WTA,1,6,2,15000000,3,1,2,1,5,4
108,AMP010,Ampahitra,Ampahitra,1,WTA,1,6,3,0,0,0,0,0,5,4
109,AMP011,Ampahitra,Ampahitra,1,WTA,1,1,1,0,0,0,0,0,5,5
110,AMP011,Ampahitra,Ampahitra,1,WTA,1,1,2,6000000,2,1,2,0,5,5
111,AMP011,Ampahitra,Ampahitra,1,WTA,1,1,3,3000000,3,1,0,1,5,5
112,AMP011,Ampahitra,Ampahitra,1,WTA,1,2,1,12000000,1,1,1,0,5,5
113,AMP011,Ampahitra,Ampahitra,1,WTA,1,2,2,0,0,0,0,0,5,5
114,AMP011,Ampahitra,Ampahitra,1,WTA,1,2,3,6000000,2,0,1,1,5,5
